x,y,mag,time
-1034.776326,362.5711348,4.5,36731
-1051.166726,335.7675632,3.2,36731
-980.866259,296.6187781,4.2,36731
-1016.487459,294.8392879,3.3,36732
-1040.328297,340.8835976,3.4,36732
-1066.042029,342.6630879,3.5,36732
-1031.372632,331.6524921,3.3,36732
-1012.060725,232.5571297,3.3,36732
-1034.09451,351.560539,5.2,36732
-1037.917779,345.2211051,4.2,36732
-1038.002689,325.6467125,3.6,36732
-1040.357777,336.5460902,4.2,36733
-1041.357279,337.4358353,3.6,36733
-1020.786393,334.5441637,4.3,36733
-1047.062463,352.5615023,3.7,36733
-997.4467686,324.8681855,4.8,36733
-870.4555353,221.7689702,3.6,36735
-1044.478927,350.3371395,3.6,36735
-1034.708723,356.6765735,4.9,36736
-1041.04993,371.6910223,3.9,36737
-993.7498501,325.9803669,4.2,36738
-995.522285,329.98422,3.8,36738
-994.0650127,335.8787814,3.6,36738
-1006.465607,348.2239948,3.5,36738
-1032.406082,358.4560637,3.7,36738
-1040.753027,359.0121544,4.5,36738
-1016.758388,347.0005953,3.5,36739
-1036.383746,335.2114725,3.4,36739
-1029.557779,344.6650144,3.3,36739
-1111.434325,359.5682451,3.2,36739
-940.3254148,306.2947562,3.6,36739
-982.0021673,298.954359,4.1,36740
-1025.041199,330.8739651,3.8,36740
-1043.859981,362.2374804,4.4,36741
-1018.531768,335.8787814,5.1,36741
-1001.998007,280.4921479,3.7,36742
-1003.586352,313.8575897,4,36742
-1030.546074,337.4358353,3.2,36742
-1054.662713,346.8893772,4.1,36743
-986.6657993,301.8460307,3.8,36743
-1026.272075,346.2220683,3.8,36744
-1011.141347,306.8508469,3.6,36744
-1036.297735,338.4367986,4,36745
-340.4982791,485.9120516,3.6,36746
-1040.438156,361.7926079,4.2,36748
-1033.730899,335.9899995,3.2,36749
-1046.14498,339.6601981,3.1,36749
-1035.058822,353.5624655,3.5,36749
-1008.868583,346.3332865,3.8,36750
-1031.545475,342.4406516,3.4,36751
-819.0768052,334.4329455,4.7,36751
-1023.923986,345.1098869,3.5,36751
-998.7201033,303.5143028,4.3,36754
-436.7753761,-171.0534986,3.7,36755
-1039.529358,356.8990097,4.8,36755
-1072.560575,356.6765735,3,36755
-1035.319427,338.9928893,4.2,36755
-1040.63624,350.3371395,5.2,36756
-1030.245438,359.7906814,4.5,36756
-1050.642764,341.995779,3.2,36758
-1050.586967,355.3419558,4.7,36762
-1057.767544,344.5537962,3.9,36762
-1046.215651,364.0169707,4,36762
-1062.841173,344.2201418,4.3,36763
-511.4425193,456.6616809,3.6,36763
-1009.462562,339.2153255,3.3,36763
-404.5581039,361.2365172,4.5,36764
-1017.814886,326.5364576,3.1,36765
-1040.165931,356.1204828,4.7,36766
-990.7235413,284.2735646,4,36766
-999.3014351,304.9601386,3.7,36766
-996.2280212,360.7916446,4.1,36768
-1034.516529,340.4387251,3.4,36771
-1029.789139,348.335213,4.3,36772
-1036.363131,370.3564046,4.4,36776
-502.7459872,-113.8873749,5.1,36779
-641.8885602,367.6871693,4,36780
-1039.470078,344.4425781,3.5,36780
-1034.56805,344.8874507,3.1,36781
-1047.100616,336.8797446,3.5,36781
-513.6405993,-115.2219925,3.7,36781
-989.2908573,278.6014395,3.9,36782
-1009.924867,455.3270632,4.2,36783
-1019.30618,350.4483576,4,36783
-994.5060011,287.7213269,4.3,36784
-963.630481,380.4772553,4.7,36784
-1019.595109,331.2076195,3.3,36784
-967.6550859,373.4705125,3.4,36786
-1002.44439,285.8306186,4.1,36787
-1030.840916,347.1118135,5.2,36790
-1025.702461,343.1079604,4.6,36790
-1043.621516,354.6746469,4.3,36791
-1041.357906,356.8990097,3.6,36793
-1020.530059,345.9996321,5.1,36793
-1015.438859,359.7906814,4.7,36793
-1051.18516,322.6438228,3.2,36797
-989.0078209,283.9399102,3.7,36797
-1041.143842,358.7897181,4.3,36798
-1060.724211,340.3275069,3.5,36800
-1020.969977,345.3323232,4.3,36800
-1040.269734,342.2182153,4.2,36800
-997.1050597,334.8778181,4.5,36802
-990.4280763,305.4050111,4,36803
-1040.640933,338.1031442,3.6,36804
-1040.759419,345.9996321,3.4,36804
-407.7664865,-29.25037069,3.5,36804
-1035.188218,345.8884139,4,36804
-974.0558573,329.205693,3.7,36807
-973.919486,287.2764544,4.7,36807
-996.5076212,297.5085232,4.4,36809
-1033.891017,338.6592348,3.8,36812
-1034.963467,345.4435414,3.6,36812
-553.401145,143.5826181,4.6,36813
-1015.839844,353.6736837,3.7,36816
-390.1611992,353.7849018,4.3,36818
-1011.869953,300.9562856,4,36818
-1048.478629,331.9861465,3.6,36819
-910.4588247,396.93754,3.5,36820
-993.3695307,296.7299962,3.7,36821
-1057.338799,333.8768548,3.9,36824
-411.0594874,-148.1425618,4.1,36826
-1027.135423,344.2201418,3.9,36827
-978.9537042,299.9553223,4.6,36828
-385.7806166,-134.7963851,4.7,36828
-1035.620091,353.4512474,4.9,36829
-996.1504307,324.9794037,3.8,36832
-993.5028414,321.4204232,4.4,36832
-999.4717994,276.4882949,3.5,36833
-1027.598409,335.1002544,3.4,36834
-1025.13777,366.2413335,4.8,36835
-1025.672059,361.4589535,4.1,36835
-1035.004646,343.4416148,3.2,36835
-323.1353701,480.1287083,3.5,36836
-1019.13649,329.5393474,4.4,36836
-1024.854372,355.6756102,3.2,36836
-302.3273212,225.8840414,4.1,36837
-309.3840154,225.550387,3.8,36837
-987.6110428,315.5258618,4.8,36838
-1018.750389,351.3381028,4,36839
-1033.200097,339.1041074,3.7,36840
-381.5483584,-137.3544023,4.5,36841
-284.9779602,238.7853456,3.6,36841
-288.6122568,238.0068186,4.9,36842
-299.4411645,247.0154879,4,36842
-996.1691554,182.508967,3.7,36842
-1045.068523,357.2326641,3.8,36844
-953.4894482,268.8142432,3.7,36847
-1006.800821,347.6679042,4.3,36849
-420.6951871,-133.6842037,3.6,36852
-1026.558475,341.995779,3.8,36854
-1000.446348,323.4223497,4.7,36857
-988.4816991,181.1743493,4.9,36865
-997.3412414,181.0631311,3.7,36865
-1028.504948,350.0034851,3.6,36868
-1003.967122,328.2047297,3.5,36869
-1039.204298,338.6592348,3.4,36869
-1034.188587,342.5518697,4.4,36874
-1034.576685,346.4445046,4.9,36874
-1031.322039,344.4425781,3.9,36874
-1028.654676,344.5537962,3.5,36874
-1026.185245,351.1156665,3.6,36874
-982.5597265,362.1262623,5.2,36875
-982.3278573,357.4551004,4.3,36875
-977.508605,365.7964609,4.8,36875
-981.3709171,359.5682451,4.5,36876
-908.3006182,499.814319,3.6,36876
-1039.775056,356.342919,3.4,36877
-1014.637843,322.866259,3.5,36879
-1015.428084,347.4454679,4.1,36881
-815.1979138,188.4035284,3.7,36884
-1028.008455,347.8903404,3.7,36885
-1038.692234,340.7723795,3.3,36885
-989.2172989,352.8951567,3.7,36885
-1033.533145,329.5393474,3.2,36886
-997.212737,333.8768548,3.7,36887
-987.5207626,284.9408735,3.5,36889
-1040.348011,344.7762325,4.6,36890
-797.9500169,198.9692516,3.8,36890
-1034.351271,343.552833,4,36896
-1033.307702,358.5672818,3.2,36900
-996.4830527,302.0684669,3.3,36901
-734.4557028,118.8921912,3.9,36907
-1034.261051,398.4945939,3.8,36908
-1028.377007,513.2717139,3.2,36908
-1035.736624,361.3477353,3.2,36909
-1013.08296,327.8710753,3.4,36913
-1054.787146,344.9986688,4,36913
-985.262614,308.1854646,3.8,36918
-1017.768005,333.6544186,4.1,36918
-1031.521033,354.1185562,4.3,36919
-765.7411357,487.6915418,3.2,36919
-1041.961918,321.4204232,3.4,36921
-1032.252445,351.6717572,3.3,36924
-1047.768084,383.1464907,3.5,36924
-731.6415428,129.12426,4.4,36925
-1014.114218,368.4656962,3.5,36926
-1040.759176,391.8215055,3.6,36938
-769.0665337,183.2874939,5,36942
-776.7420942,136.6870935,3.5,36958
-1043.607513,348.335213,3.8,36967
-916.8746807,376.5846204,3.8,36973
-985.6109209,361.7926079,4.1,36973
-1053.38204,359.6794632,3.3,36978
-1001.794565,461.6664972,3.4,36980
-959.8725843,383.2577088,4.6,36985
-665.7493739,142.692873,4.2,36995
-611.8527929,15.79297581,4,36997
-624.7009304,11.56668651,3.5,36997
-622.6826839,8.897451162,3.5,36997
-957.5470814,368.0208237,3.8,37005
